<90> = 1        huffman_code = 010001101000
<Sp> = 1        huffman_code = 010001100111
<nk> = 1        huffman_code = 010001100110
<k,> = 1        huffman_code = 010001100101
<Fr> = 1        huffman_code = 010001100100
<Je> = 1        huffman_code = 010001100011
< D> = 1        huffman_code = 010001100010
<Pi> = 1        huffman_code = 010001100001
<sy> = 1        huffman_code = 010001100000
<Ma> = 1        huffman_code = 001011000111
<ny> = 1        huffman_code = 001011000110
<av> = 1        huffman_code = 001011000101
<d:> = 1        huffman_code = 001011000100
<hn> = 1        huffman_code = 11111110011
<0t> = 1        huffman_code = 11111110010
<oc> = 1        huffman_code = 10111000001
<rg> = 2        huffman_code = 10111000000
<d,> = 2        huffman_code = 01010100001
<hm> = 2        huffman_code = 01010100000
<tt> = 2        huffman_code = 01010011111
<nn> = 2        huffman_code = 01010011110
<n.> = 2        huffman_code = 01010011101
<wn> = 2        huffman_code = 01010011100
<bu> = 2        huffman_code = 01010011011
<g.> = 2        huffman_code = 01010011010
<ip> = 2        huffman_code = 01010011001
<Eg> = 2        huffman_code = 01010011000
<yp> = 2        huffman_code = 01010010111
<lt> = 2        huffman_code = 01010010110
< 2> = 2        huffman_code = 01010010101
<0 > = 2        huffman_code = 01010010100
<5 > = 2        huffman_code = 01010010011
<ua> = 2        huffman_code = 01010010010
<af> = 2        huffman_code = 01010010001
< E> = 2        huffman_code = 01010010000
<gy> = 2        huffman_code = 01010001111
<pt> = 2        huffman_code = 01010001110
<C > = 2        huffman_code = 01010001101
<Eu> = 2        huffman_code = 01010001100
< k> = 2        huffman_code = 01010001011
<ls> = 2        huffman_code = 01010001010
<pa> = 2        huffman_code = 01010001001
<ak> = 2        huffman_code = 01010001000
< G> = 2        huffman_code = 01010000111
<au> = 2        huffman_code = 01010000110
<ib> = 2        huffman_code = 01010000101
< R> = 2        huffman_code = 01010000100
<pi> = 2        huffman_code = 01010000011
<vo> = 2        huffman_code = 01010000010
< F> = 2        huffman_code = 01010000001
<lu> = 2        huffman_code = 01010000000
<ju> = 2        huffman_code = 01001111111
<0.> = 2        huffman_code = 01001111110
<eb> = 2        huffman_code = 01001111101
